unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230531,2023-05-31T05:06:56, -3.105,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230531,2023-05-31T05:06:57, -3.005,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230531,2023-05-31T05:06:57, -2.900,  0.105,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230531,2023-05-31T05:06:57, -2.800,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230531,2023-05-31T05:06:57, -2.700,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230531,2023-05-31T05:06:57, -2.600,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230531,2023-05-31T05:06:57, -2.500,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230531,2023-05-31T05:06:57, -2.400,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230531,2023-05-31T05:06:57, -2.300,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230531,2023-05-31T05:06:57, -2.200,  0.100,0,0,247, 25.000, 13.080,  0.000,  0.000, 13.080, 13.800,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
